Molecule_ChEMBLID;Smiles;Standard_Value
CHEMBL430721;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4c(CO)csc4s3)[C@H](C)[C@H]12.[Na+];1.2
CHEMBL3134378;OC[C@H]1O[C@@H](n2ccc3c(-c4cc5ccccc5[nH]4)ncnc32)[C@H](O)[C@@H]1O;100000.0
CHEMBL287296;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4cc(C(F)(F)F)ccc4s3)[C@H](C)[C@H]12.[Na+];0.9
CHEMBL136384;COc1ccc(C2=NOC(S(C)(=O)=O)C2)cc1;392000.0
CHEMBL420005;CC(N)C(=O)NC(CCC(=O)O)P(=O)(O)O;32.0
CHEMBL24155;COc1c(C)cc(Cc2cnc(N)nc2N)cc1C(C)(C)C;240.0
CHEMBL281603;O=C1C=CC(=O)N1CCCCCn1c(C2CCNCC2)nc2cc(Cl)c(Cl)cc21;100000.0
CHEMBL23021;COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1;1.1
CHEMBL477463;CCC(=O)OCc1cn(CCn2c([N+](=O)[O-])cnc2C)nn1;500.0
CHEMBL477464;Cc1ncc([N+](=O)[O-])n1CCn1cc(COC2CCCCO2)nn1;500.0
CHEMBL476070;Cc1ncc([N+](=O)[O-])n1CCn1cc(COc2ccc([N+](=O)[O-])cc2)nn1;500.0
CHEMBL478514;CC(=O)c1ccc(OCc2cn(CCn3c([N+](=O)[O-])cnc3C)nn2)cc1;500.0
CHEMBL175244;CCCCCCCCCCSc1ncnc2c1ncn2CC(=O)OC(C)(C)C;10.0
CHEMBL307960;O=C(c1ccc(Cl)cc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1;180.0
CHEMBL436786;CC(C)C[C@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCCN)NC(=O)[C@H](NC(=O)[C@H](CCCN)NC(=O)[C@@H](N)[C@@H](C)O)CCCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CCCN)NC(=O)[C@H](CCCN)NC1=O;25000.0
CHEMBL84273;Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4cc(OCCC(=O)O)ccc43)cnc2n1;4.0
CHEMBL92954;CCCC[C@H](CN(O)C=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N(C)C;10.0
CHEMBL396342;NC(=O)[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1;23000.0
CHEMBL178219;C/C(=C\COc1ccc2ccc(=O)oc2c1)CC/C=C(\C)CCC(O)C(C)(C)O;65000.0
CHEMBL301769;Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4ccccc43)cnc2n1;2600.0
CHEMBL225072;Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1;230000.0
CHEMBL510003;Cc1ncc([N+](=O)[O-])n1CCn1cc(C2(O)CCCCC2)nn1;500.0
CHEMBL71671;CC(C)CC(NC(=O)C(C)N)P(=O)(O)O;512.0
CHEMBL88004;CCc1nc(N)nc(N)c1-c1ccc(Cl)c(/N=N/N(CCOC(C)=O)Cc2cccc([N+](=O)[O-])c2)c1;3690.0
